aux_1_geom,aux_2_geom,aux_3_geom,aux_4_geom,front_left_leg_geom,front_right_leg_geom,back_left_leg_geom,back_right_leg_geom,front_left_ankle_geom,front_right_ankle_geom,back_left_ankle_geom,back_right_ankle_geom
1.0124550689, 0.9688557474999999, 1.0207187200999999, 0.968096438, 1.0385437226, 0.95286651222, 1.0466075259999998, 0.9602498059, 1.048534676, 0.950273305863, 1.0489520579, 0.9916612932
0.9546281678499999, 0.95210525213, 1.0468333569, 0.9503879175409999, 1.0438677460999999, 0.9733626216, 1.0107214942, 0.9840324661, 1.0482512733, 0.95775392344, 1.0458054560999999, 0.9557238332
0.9697653795, 0.95312266067, 1.0223926556, 0.9799902658999999, 1.0445486759, 0.9905207994999999, 1.0242202425, 0.9767884937, 1.0449133189, 0.950611048562, 1.0496352967, 0.9665027129
0.9952059815, 1.0042892176, 1.0203631820999999, 0.9560017506699999, 1.0431996400999999, 0.95930168307, 1.0448291995, 0.9624912711, 1.0465188509, 0.9500517303249, 1.0497591554999999, 0.9634758807999999
0.9771556308999999, 0.9995887411, 0.9995501045999999, 0.9601703559, 1.0470192226, 0.95193495441, 1.0281162853999999, 0.9639408240999999, 1.0465122179, 0.9518400513799999, 1.0484495481, 0.9805669914999999
1.0102261944, 0.9525547017799999, 1.0381415146, 0.9972546493, 1.039472666, 0.9796437069999999, 1.0290708434, 0.95842861504, 1.0483755757, 0.950298420608, 1.0488380065, 0.9751719721
0.9760851852, 0.95404134701, 1.0342269764, 0.9777075284, 1.0422683054, 0.9768360129, 1.0183221235, 0.9805573728, 1.0473298851, 0.950644951623, 1.0490767153, 0.9638525099999999
1.0408015009, 0.9563765263799999, 1.0340982434, 0.9729876115999999, 1.0403897006, 0.9773097328, 1.0496361335, 0.9752391947, 1.0477257994, 0.9500233761628, 1.0498926112, 0.9811512108
1.0114338406999999, 0.95672516169, 1.025320572, 0.9985026822999999, 1.0383767959999999, 0.95635437874, 1.0403456996, 0.9721865206, 1.0473373971, 0.9500257918103999, 1.049392399, 0.9796215511999999
0.9975931232999999, 0.9770661762999999, 1.0346322779, 1.0043960037, 1.0417471482, 0.9765019178, 1.0325184303, 0.9820067011, 1.0486216684, 0.950047683041, 1.0495257299, 0.9710477716
1.0025691901, 0.9619640667999999, 1.0239255565, 0.9891681894, 1.0401249165, 0.9849750684999999, 1.0463878074, 0.9695048671, 1.0469865023, 0.950303159565, 1.0496513272999999, 0.9691762998
0.9541211295199999, 0.9860388268, 1.0094449629, 1.0312606026, 1.0368042119, 1.0069502101999999, 1.0310613055, 0.9644688465, 1.0463457519, 0.9503071446779999, 1.0488261233, 0.9666528083
0.9843663086, 0.9516976764499999, 1.0271227510999998, 0.950731256307, 1.0345047549, 0.9654417637999999, 1.0188516964, 0.9832937562999999, 1.0478761312, 0.950218672331, 1.0492938533, 0.9750236956999999
0.9776127228, 0.9836234790999999, 0.990479298, 0.9561113178899999, 1.048255679, 0.95603231394, 1.030872332, 0.9593132640099999, 1.0462947028, 0.9521313834599999, 1.0482976622, 0.984649739
1.0171452451, 0.95457584415, 1.0295246829, 0.95739810313, 1.0393677903, 0.9611471357, 1.0422613426, 0.95771121081, 1.0473904209, 0.95112722951, 1.0481719309, 0.9990678625
0.9856908831, 0.9611377321, 1.01355894, 0.9940112459, 1.0447812718, 1.0160482217, 1.0339880709, 0.95642408761, 1.0466587656, 0.95027945317, 1.049319166, 0.9591570669099999
1.003625587, 0.9609316291, 1.0144047620999999, 1.0033671344, 1.0400113888, 1.0055241421999999, 1.0365475621, 0.9546197972399999, 1.048664509, 0.950484619991, 1.0499524167, 0.9876536743
0.9753258825, 0.95348039819, 1.0358607252, 0.9764187663999999, 1.0420696627, 0.9737364006, 1.0170837754, 0.9824650396, 1.0473829352, 0.950673843224, 1.0490575503, 0.9642236713
0.9990124256999999, 0.9663119407999999, 1.0316652161, 0.95146549603, 1.0403822208, 0.9602253600999999, 1.0496714330999999, 0.9608350492, 1.0494075458999998, 0.950855268251, 1.0490244894, 0.9781011971
0.9678015477999999, 0.9601177003, 0.9862816888, 0.9861171503999999, 1.0257466689999999, 0.9817722619, 1.0102804408, 0.9785735002, 1.0465757742, 0.95122477154, 1.0497588802, 0.95743951711
0.9989867154, 0.9737708164, 1.0199915614, 0.9805131992999999, 1.0392292072, 0.9942841091, 1.0368024676999998, 0.9690886204, 1.0475032091999998, 0.9507334619059999, 1.0491244594, 0.9694503806
0.9849231486, 0.95170843434, 1.0071295722, 0.9657042383, 1.0420025606999999, 1.0396901832999998, 1.0463881345, 0.9733406987, 1.0469465225999999, 0.95117349955, 1.0495352434, 0.95287922636
0.9793701365999999, 0.9550742164299999, 1.0390092951, 0.9622880534, 1.0486636201, 1.0044176373, 1.0369613416999999, 0.95553048845, 1.0482534216, 0.9532519415599999, 1.0493626709, 0.9762908606999999
1.0055371752, 0.9528793891299999, 1.0495475013, 0.9862755486, 1.0431429245, 0.9672068200999999, 1.0382516629, 0.9777069198999999, 1.0466835703, 0.95149402822, 1.0482043788, 0.9835927525999999

